contig	start	end	gene_Name	gene_ID	transcript_ID	len_My	len_Sp	unqC_My	unqC_Sp	biAlC_My	biAlC_Sp	mulC_My	mulC_Sp	totalC_My	totalC_Sp
2	1	1011	-	AL2G10010	AL2G10010.t1	513	513	0	0	0	0	0	0	0	0
2	1116	3595	-	AL2G10020	AL2G10020.t1	1570	1570	752	2764	4314	4314	12	12	5078	7090
2	1116	3595	-	AL2G10020	AL2G10020.t1	1570	1570	752	2764	4314	4314	12	12	5078	7090
2	5226	7090	CP5	AL2G10030	AL2G10030.t1	1403	1399	1856	948	2738	2742	0	0	4594	3690
2	17823	19111	-	AL2G10040	AL2G10040.t1	1018	1018	0	0	0	0	244	244	244	244
2	22602	24361	-	AL2G10050	AL2G10050.t1	1270	1270	206	212	28	28	200	244	434	484
2	29596	30510	-	AL2G10060	AL2G10060.t1	915	914	50	50	10	10	0	0	60	60
2	46995	48041	BLT	AL2G10070	AL2G10070.t1	1047	1047	34	38	30	30	0	0	64	68
2	48700	50081	-	AL2G10080	AL2G10080.t1	1129	1130	58	70	550	554	0	0	608	624
2	57856	58628	-	AL2G10090	AL2G10090.t1	656	656	0	0	0	0	0	0	0	0
2	65626	68556	-	AL2G10100	AL2G10100.t1	1795	1791	1054	1500	2224	2280	260	396	3538	4176
2	68826	69650	ENODL8	AL2G10110	AL2G10110.t1	747	744	2	514	2024	2024	86	86	2112	2624
2	69729	72471	ATWNK10	AL2G10120	AL2G10120.t1	2049	2037	28	2	66	66	0	0	94	68
2	72617	75331	ATWNK10	AL2G10130	AL2G10130.t1	1971	1978	368	122	286	282	0	0	654	404
2	85590	87071	-	AL2G10140	AL2G10140.t1	1386	1363	758	736	1330	1334	0	0	2088	2070
2	97206	100280	-	AL2G10150	AL2G10150.t1	2273	2287	212	184	34	34	0	0	246	218
2	100302	103141	-	AL2G10160	AL2G10160.t1	1801	1798	404	442	128	128	0	0	532	570
2	103460	105371	-	AL2G10170	AL2G10170.t1	1279	1279	2	0	2	2	0	0	4	2
2	109596	111665	-	AL2G10190	AL2G10190.t1	2066	2070	14	12	38	38	0	0	52	50
2	109596	111665	-	AL2G10190	AL2G10190.t1	2066	2070	14	12	38	38	0	0	52	50
2	111886	113873	-	AL2G10200	AL2G10200.t1	1987	1996	102	72	168	168	0	0	270	240
2	113899	119811	DUO3	AL2G10210	AL2G10210.t1	4610	4610	582	606	624	628	0	0	1206	1234
2	126857	131671	ATGCN3	AL2G10220	AL2G10220.t1	2395	2363	1062	970	1090	1090	0	0	2152	2060
