Gene stable ID	Gene name
AT3G11415	
AT1G31258	
AT5G24735	
AT2G45780	
AT2G42425	
AT4G01533	
AT4G09195	
AT1G79075	
AT5G10278	
AT1G67238	
AT4G36648	
AT4G03605	
AT2G15128	
AT3G02832	
AT3G48115	
AT1G07977	
AT1G18745	
AT5G40275	
AT4G09405	
AT5G02975	
AT5G24206	
AT5G23155	
AT3G45638	
AT5G24205	
AT5G03285	
AT3G00980	
AT3G25795	
AT2G42485	
AT3G52748	
AT3G52742	
AT3G60176	
AT1G32172	
AT1G26558	
AT4G16892	
AT2G10537	
AT1G78865	
AT2G09215	
AT1G10682	
AT2G19796	
AT1G04425	
AT1G15405	
AT2G45245	
AT1G06677	
AT2G45023	
AT1G14518	
AT5G05785	
AT1G19968	
AT2G36307	ZPR4
AT1G24068	
AT3G44798	
AT5G06095	
AT1G08933	
AT3G04535	
AT4G30872	
AT3G07485	
AT3G03065	
AT5G33439	
AT3G05215	
AT5G05295	
AT3G61198	
AT5G22788	
AT1G70581	
AT4G30975	
AT1G58808	
AT3G04485	
AT3G08410	
AT5G23410	
AT4G05365	
AT5G43725	
AT1G25175	
AT1G11592	
AT4G26255	
AT2G09155	
AT1G70185	
AT4G23205	
AT4G08035	
AT1G26235	
AT1G34418	
AT3G57157	
AT1G08823	
AT4G40065	
AT1G64572	
AT3G60238	
AT5G28262	
AT2G39681	TAS2
AT4G05940	
AT4G04315	
AT5G02135	
AT5G34871	
AT5G38005	
AT4G39404	
AT2G42388	
AT1G31935	
AT2G07975	
AT2G07575	
AT5G43403	
AT3G05185	
AT1G11175	
AT5G37485	
AT1G49952	
AT3G59765	
AT3G07635	
AT3G03695	
AT4G03811	
AT2G18735	
AT1G66173	
AT1G58590	
AT1G49832	
AT1G21529	
AT1G09583	
AT4G13495	
AT3G17185	TASIR-ARF
AT2G15555	
AT1G55525	
AT1G05813	
AT1G07257	
AT4G14548	
AT5G28824	
AT3G13277	
AT1G77138	
AT1G64618	
AT1G70518	
AT5G08575	
AT2G44995	
AT1G50055	TAS1B
AT3G14185	
AT1G23052	
AT4G02005	
AT1G34392	
AT2G30945	
AT2G14878	
AT4G15242	
AT3G46614	
AT1G33615	
AT5G49615	TAS3b
AT4G16748	
AT4G12917	
AT4G10507	
AT3G07215	
AT5G08125	
AT2G05518	
AT3G41761	
AT3G06962	
AT3G05152	
AT1G08253	
AT3G44765	
AT3G15536	
AT2G06562	
AT1G09073	
AT2G15292	
AT4G04223	
AT1G07507	
AT5G06955	
AT1G46554	
AT2G06002	
AT5G33399	
AT1G50659	
AT3G12965	
AT1G05697	
AT3G26612	
AT1G04867	
AT2G08610	
AT3G27884	
AT2G27400	TAS1A
AT1G52347	
AT1G64563	
AT2G24735	
AT2G21188	
AT3G06125	
AT2G32795	
AT4G06701	
AT4G31408	
AT3G53365	
AT1G06797	
AT5G40316	
AT2G43375	
AT2G09475	
AT1G43765	
AT3G61118	
AT5G45475	
AT2G05685	
AT2G07042	
AT1G16635	
AT2G07405	
AT2G22482	
AT2G18440	GUT15
AT1G11185	
AT4G05905	
AT5G00885	
AT1G05547	
AT5G44569	
AT2G39675	TAS1C
AT1G08493	
AT1G09277	
AT1G22403	
AT3G55485	
AT5G48412	
AT3G60972	
AT2G09365	
AT4G16355	
AT4G03038	
AT1G67105	
AT2G41312	
AT3G18362	
AT2G04705	
AT1G52615	
AT2G30115	
AT5G07322	
AT5G06165	
AT5G02825	
AT5G57735	TASIR-ARF
AT1G57835	
AT1G68872	
AT5G50190	
AT3G54366	
AT1G69252	
AT2G31585	
AT2G46192	
AT2G01422	
AT2G05995	
AT3G41768	
AT4G03935	
ATCG00950	RRN23S.1
ATCG01180	RRN23S.2
AT3G41979	
ATMG00020	RRN26
AT2G01020	
ATCG01170	RRN4.5S.2
ATCG00920	RRN16S.1
ATMG01390	RRN18
ATCG01210	RRN16S.2
ATCG01160	RRN5S
ATCG00970	RRN5S
ATMG01380	RRN5
AT2G01010	
ATCG00960	RRN4.5S.1
AT4G18725	
AT1G61910	
AT1G56940	
ATMG00800	TRNE
AT3G63003	
AT1G56990	
AT2G45020	
AT5G02505	
AT1G10440	
AT3G46585	
AT1G61880	
AT1G05980	
AT2G22220	
AT1G57170	
AT1G48080	
AT1G60580	
AT2G17810	
AT4G16465	
AT3G05835	
AT1G80430	
AT5G58495	
AT1G60910	
AT1G56760	
AT5G09345	
AT5G49435	
AT1G09110	
AT1G74610	
AT5G43535	
AT2G30850	
AT1G56970	
AT1G04720	
AT5G27715	
AT3G51265	
AT5G35605	
AT1G13010	
ATCG00880	TRNL.2
AT2G16240	
ATCG00410	TRNF
AT1G45238	
AT3G16552	
