contig	start	end	gene_Name	gene_ID	transcript_ID	len_My	len_Sp	unqC_My	unqC_Sp	biAlC_My	biAlC_Sp	mulC_My	mulC_Sp	totalC_My	totalC_Sp
2	1	1011	-	AL2G10010	AL2G10010.t1	513	513	0	0	0	0	0	0	0	0
2	1116	3595	-	AL2G10020	AL2G10020.t1	1570	1570	1414	3590	4774	4774	20	20	6208	8384
2	1116	3595	-	AL2G10020	AL2G10020.t1	1570	1570	1414	3590	4774	4774	20	20	6208	8384
2	5226	7090	CP5	AL2G10030	AL2G10030.t1	1403	1400	1470	940	2544	2544	4	4	4018	3488
2	17823	19111	-	AL2G10040	AL2G10040.t1	1018	1018	0	0	0	0	276	276	276	276
2	22602	24361	-	AL2G10050	AL2G10050.t1	1270	1270	212	390	48	48	248	232	508	670
2	29596	30510	-	AL2G10060	AL2G10060.t1	915	914	70	70	18	18	0	0	88	88
2	46995	48041	BLT	AL2G10070	AL2G10070.t1	1047	1047	26	42	40	40	0	0	66	82
2	48700	50081	-	AL2G10080	AL2G10080.t1	1130	1129	64	80	598	598	0	0	662	678
2	57856	58628	-	AL2G10090	AL2G10090.t1	656	656	0	0	0	0	0	0	0	0
2	65626	68556	-	AL2G10100	AL2G10100.t1	1795	1791	1274	2090	3470	3522	662	664	5406	6276
2	68826	69650	ENODL8	AL2G10110	AL2G10110.t1	747	744	4	522	1988	1988	50	50	2042	2560
2	69729	72471	ATWNK10	AL2G10120	AL2G10120.t1	2049	2037	8	2	28	28	0	0	36	30
2	72617	75331	ATWNK10	AL2G10130	AL2G10130.t1	1971	1971	296	120	210	210	4	4	510	334
2	85590	87071	-	AL2G10140	AL2G10140.t1	1386	1363	594	572	988	992	6	6	1588	1570
2	97206	100280	-	AL2G10150	AL2G10150.t1	2273	2287	100	96	22	18	0	0	122	114
2	100302	103141	-	AL2G10160	AL2G10160.t1	1801	1798	506	592	166	166	0	0	672	758
2	103460	105371	-	AL2G10170	AL2G10170.t1	1279	1279	0	0	2	2	0	0	2	2
2	109596	111665	-	AL2G10190	AL2G10190.t1	2066	2070	28	44	28	28	0	0	56	72
2	109596	111665	-	AL2G10190	AL2G10190.t1	2066	2070	28	44	28	28	0	0	56	72
2	111886	113873	-	AL2G10200	AL2G10200.t1	1987	1996	74	64	154	154	4	4	232	222
2	113899	119811	DUO3	AL2G10210	AL2G10210.t1	4609	4610	560	644	606	606	0	0	1166	1250
