contig	start	end	gene_Name	gene_ID	transcript_ID	len_My	len_Sp	unqC_My	unqC_Sp	biAlC_My	biAlC_Sp	mulC_My	mulC_Sp	totalC_My	totalC_Sp
2	1	1011	-	AL2G10010	AL2G10010.t1	513	513	0	0	0	0	0	0	0	0
2	1116	3595	-	AL2G10020	AL2G10020.t1	1570	1570	1806	2934	6616	6608	38	38	8460	9580
2	1116	3595	-	AL2G10020	AL2G10020.t1	1570	1570	1806	2934	6616	6608	38	38	8460	9580
2	5226	7090	CP5	AL2G10030	AL2G10030.t1	1403	1403	1538	928	2572	2572	0	0	4110	3500
2	17823	19111	-	AL2G10040	AL2G10040.t1	1018	1018	0	0	0	0	188	188	188	188
2	22602	24361	-	AL2G10050	AL2G10050.t1	1270	1270	134	98	124	124	188	186	446	408
2	29596	30510	-	AL2G10060	AL2G10060.t1	915	915	114	34	30	30	0	0	144	64
2	46995	48041	BLT	AL2G10070	AL2G10070.t1	1047	1047	8	42	90	90	0	0	98	132
2	48700	50081	-	AL2G10080	AL2G10080.t1	1129	1129	24	12	230	230	0	0	254	242
2	57856	58628	-	AL2G10090	AL2G10090.t1	656	656	0	0	0	0	0	0	0	0
2	65626	68556	-	AL2G10100	AL2G10100.t1	1795	1791	686	736	3394	3394	316	316	4396	4446
2	68826	69650	ENODL8	AL2G10110	AL2G10110.t1	747	744	834	1194	260	256	0	0	1094	1450
2	69729	72471	ATWNK10	AL2G10120	AL2G10120.t1	2049	2037	144	174	1832	1832	4	4	1980	2010
2	72617	75331	ATWNK10	AL2G10130	AL2G10130.t1	1971	1971	208	2	286	286	8	8	502	296
2	85590	87071	-	AL2G10140	AL2G10140.t1	1384	1369	1214	1168	1438	1426	8	8	2660	2602
2	97206	100280	-	AL2G10150	AL2G10150.t1	2273	2288	282	404	30	30	0	0	312	434
2	100302	103141	-	AL2G10160	AL2G10160.t1	1801	1801	430	350	122	130	0	0	552	480
2	103460	105371	-	AL2G10170	AL2G10170.t1	1279	1279	0	4	6	6	0	0	6	10
2	109596	111665	-	AL2G10190	AL2G10190.t1	2066	2070	24	24	32	32	0	0	56	56
2	109596	111665	-	AL2G10190	AL2G10190.t1	2066	2070	24	24	32	32	0	0	56	56
2	111886	113873	-	AL2G10200	AL2G10200.t1	1987	1996	70	64	214	214	0	0	284	278
2	113899	119811	DUO3	AL2G10210	AL2G10210.t1	4610	4610	650	650	440	436	0	0	1090	1086
2	126857	131671	ATGCN3	AL2G10220	AL2G10220.t1	2395	2363	610	272	3148	3148	0	0	3758	3420
2	134196	134923	-	AL2G10230	AL2G10230.t2	560	560	0	0	0	0	0	0	0	0
2	134196	139961	-	AL2G10230	AL2G10230.t1	4665	4667	0	0	0	0	0	0	0	0
2	140005	141791	-	AL2G10240	AL2G10240.t1	1260	1279	0	2	0	0	0	0	0	2
2	155501	158697	-	AL2G10250	AL2G10250.t1	2325	2326	1682	1960	9260	9260	0	0	10942	11220
2	159792	161087	-	AL2G10260	AL2G10260.t1	947	947	166	1440	184	184	12	12	362	1636
2	161107	164447	-	AL2G10270	AL2G10270.t2	2807	2807	0	2	322	668	380	392	702	1062
2	161107	164447	-	AL2G10270	AL2G10270.t1	2810	2810	0	0	318	664	380	392	698	1056
2	167333	169367	RPN12a	AL2G10280	AL2G10280.t1	1096	1096	2124	2192	2986	2986	0	0	5110	5178
2	169492	171055	-	AL2G10290	AL2G10290.t1	941	941	616	1110	392	392	12	12	1020	1514
2	171217	172647	-	AL2G10300	AL2G10300.t1	1419	1428	0	0	10	10	0	0	10	10
2	173003	173657	-	AL2G10310	AL2G10310.t1	652	655	438	142	46	46	0	0	484	188
2	174212	174726	-	AL2G10320	AL2G10320.t1	411	411	0	0	0	0	0	0	0	0
2	175345	177157	-	AL2G10330	AL2G10330.t1	1094	1099	0	0	0	0	0	0	0	0
2	177963	179737	-	AL2G10340	AL2G10340.t1	1550	1553	32	0	248	248	0	0	280	248
2	181012	182597	-	AL2G10350	AL2G10350.t1	1050	1050	0	0	60	60	0	0	60	60
2	183832	189354	-	AL2G10360	AL2G10360.t2	5431	5431	0	0	0	0	0	0	0	0
2	183832	185423	-	AL2G10360	AL2G10360.t1	1474	1474	0	0	0	0	0	0	0	0
2	197142	199570	CBL8	AL2G10370	AL2G10370.t2	935	935	0	0	8	10	6	6	14	16
2	197142	199570	CBL8	AL2G10370	AL2G10370.t1	962	962	0	0	8	10	6	6	14	16
2	202362	203266	-	AL2G10380	AL2G10380.t1	811	811	0	0	0	0	0	0	0	0
2	206982	209282	-	AL2G10390	AL2G10390.t1	2220	2220	634	478	478	482	0	0	1112	960
2	209982	211668	-	AL2G10400	AL2G10400.t1	1164	1164	464	240	528	528	20	20	1012	788
2	212621	215467	RHD1	AL2G10410	AL2G10410.t1	1440	1440	36	34	678	678	0	0	714	712
2	215567	218977	-	AL2G10420	AL2G10420.t1	2015	2015	18	36	282	282	0	0	300	318
2	220244	220707	-	AL2G10440	AL2G10440.t1	465	464	122	42	36	36	0	0	158	78
2	242432	247198	LACS3	AL2G10450	AL2G10450.t1	2335	2335	16	0	22	18	0	0	38	18
2	247465	251357	AtGH9C2	AL2G10460	AL2G10460.t1	2565	2567	1556	1146	2092	2120	6	12	3654	3278
2	261783	263857	-	AL2G10470	AL2G10470.t1	1556	1570	1300	1140	1228	1176	0	0	2528	2316
2	279392	280958	-	AL2G10480	AL2G10480.t1	1567	1567	28	18	16	16	0	0	44	34
2	282444	283157	-	AL2G10490	AL2G10490.t1	714	712	10636	17268	47756	47756	0	0	58392	65024
2	283464	284137	-	AL2G10500	AL2G10500.t1	587	583	3106	3664	3254	3250	2	4	6362	6918
2	284924	286347	-	AL2G10510	AL2G10510.t1	840	840	4	14	172	186	58	58	234	258
2	284924	286347	-	AL2G10510	AL2G10510.t2	822	822	0	0	172	186	58	58	230	244
2	286596	288397	SEH1H	AL2G10520	AL2G10520.t1	1263	1246	510	532	372	372	0	0	882	904
2	289152	289629	-	AL2G10530	AL2G10530.t1	483	479	0	0	0	0	0	0	0	0
2	291742	293511	-	AL2G10540	AL2G10540.t1	1449	1441	34	38	8	4	0	0	42	42
2	300295	301507	-	AL2G10550	AL2G10550.t1	927	932	0	0	0	0	0	0	0	0
2	312914	314255	-	AL2G10560	AL2G10560.t1	706	706	0	0	1572	1572	4	4	1576	1576
2	314990	316559	-	AL2G10570	AL2G10570.t1	817	817	0	0	0	0	0	0	0	0
2	316880	320265	-	AL2G10580	AL2G10580.t1	3390	3388	60	20	242	242	0	0	302	262
2	320440	323145	-	AL2G10590	AL2G10590.t1	949	951	0	0	0	0	4	4	4	4
2	320440	323145	-	AL2G10590	AL2G10590.t2	989	991	0	0	0	0	4	4	4	4
2	323645	333945	-	AL2G10600	AL2G10600.t1	2834	2826	0	0	0	0	0	0	0	0
2	323645	333945	-	AL2G10600	AL2G10600.t1	2834	2826	0	0	0	0	0	0	0	0
2	335404	338685	-	AL2G10610	AL2G10610.t1	2099	2114	1100	1122	50	46	0	0	1150	1168
2	339088	341775	-	AL2G10620	AL2G10620.t1	2083	2083	6	18	48	48	0	0	54	66
2	341887	343645	-	AL2G10630	AL2G10630.t1	1759	1759	0	4	4	4	0	0	4	8
2	341887	343645	-	AL2G10630	AL2G10630.t1	1759	1759	0	4	4	4	0	0	4	8
2	343701	346515	-	AL2G10640	AL2G10640.t1	2555	2554	2	20	30	30	0	0	32	50
2	347830	350077	-	AL2G10650	AL2G10650.t1	1518	1511	0	8	8	8	0	0	8	16
2	353080	354075	-	AL2G10660	AL2G10660.t1	744	744	0	0	0	0	0	0	0	0
2	354142	357725	-	AL2G10670	AL2G10670.t1	2685	2685	0	0	8	8	0	0	8	8
2	363010	364352	-	AL2G10680	AL2G10680.t1	1343	1332	0	0	0	0	2	2	2	2
2	364810	367223	NPR1	AL2G10690	AL2G10690.t1	2104	2104	546	770	782	782	0	0	1328	1552
2	367573	370485	-	AL2G10700	AL2G10700.t1	2727	2727	496	398	222	222	0	0	718	620
2	380162	383835	-	AL2G10710	AL2G10710.t1	2853	2850	100	182	158	158	0	0	258	340
2	386355	389575	-	AL2G10720	AL2G10720.t1	2828	2822	216	126	88	84	0	0	304	210
2	392066	392855	-	AL2G10730	AL2G10730.t1	793	790	0	0	0	0	0	0	0	0
2	395520	396800	-	AL2G10750	AL2G10750.t1	1281	1281	0	0	0	0	2	2	2	2
2	399895	403275	-	AL2G10760	AL2G10760.t1	1092	1092	0	0	8	8	0	0	8	8
2	399895	403275	-	AL2G10760	AL2G10760.t1	1092	1092	0	0	8	8	0	0	8	8
2	403718	405615	UBC28	AL2G10770	AL2G10770.t1	854	856	1654	2356	16062	16086	0	0	17716	18442
2	405790	406327	TOM7-2	AL2G10780	AL2G10780.t1	523	539	22	26	26	26	0	0	48	52
2	406330	408315	-	AL2G10790	AL2G10790.t1	1918	1916	0	0	0	0	0	0	0	0
2	409120	410777	VHA-E3	AL2G10800	AL2G10800.t1	962	962	34	212	294	174	16	0	344	386
2	411697	414195	-	AL2G10810	AL2G10810.t1	1224	1234	56	104	18	22	0	0	74	126
2	415960	417644	-	AL2G10820	AL2G10820.t1	1686	1685	628	218	1794	1782	4	4	2426	2004
2	417671	418415	-	AL2G10830	AL2G10830.t1	502	504	56	0	248	248	0	0	304	248
2	418476	421355	-	AL2G10840	AL2G10840.t1	2172	2137	556	176	136	140	0	0	692	316
2	424620	427918	ATCHX16	AL2G10850	AL2G10850.t1	2674	2674	136	220	252	252	0	0	388	472
2	428324	429125	-	AL2G10860	AL2G10860.t1	802	799	260	620	752	752	0	0	1012	1372
2	436307	439155	-	AL2G10870	AL2G10870.t1	2551	2551	0	0	0	0	0	0	0	0
2	436307	439155	-	AL2G10870	AL2G10870.t1	2551	2551	0	0	0	0	0	0	0	0
